habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,ubicacion,precio
2.0,2.0,1,92,92,4,652173913.0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,137,600000000.0
1.0,2.0,1,56,56,6,839285714.0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,105,470000000.0
3.0,4.0,2,144,144,6,659722222.0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,143,950000000.0
1.0,1.0,0,31,31,4,741935484.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,447,230000000.0
3.0,2.0,1,52,52,4,557692308.0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,259,290000000.0
3.0,3.0,1,150,150,6,653333333.0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,345,980000000.0
3.0,2.0,1,110,100,3,418181818.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,185,460000000.0
3.0,2.0,0,53,47,3,320754717.0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,726,170000000.0
4.0,4.0,2,264,264,5,53030303.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,466,1400000000.0
3.0,2.0,2,97,0,4,617525773.0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,533,599000000.0
2.0,3.0,2,87,82,4,471264368.0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,430,410000000.0
1.0,2.0,1,50,0,5,6800000.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,205,340000000.0
3.0,3.0,1,140,140,4,507142857.0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,558,710000000.0
4.0,3.0,1,90,0,4,4000000.0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,127,360000000.0
2.0,3.0,2,111,111,6,1126126126.0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,345,1250000000.0
2.0,3.0,2,111,73,4,342342342.0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,127,380000000.0
3.0,2.0,0,61,0,3,262295082.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,689,160000000.0
2.0,3.0,4,322,277,6,9000000.0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,426,2898000000.0
5.0,5.0,4,280,280,6,714285714.0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,376,2000000000.0
3.0,2.0,1,59,54,4,422033898.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,198,249000000.0
3.0,3.0,2,146,133,5,54109589.0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,635,790000000.0
2.0,2.0,1,75,75,4,4200000.0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,448,315000000.0
2.0,2.0,2,56,0,4,642857143.0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,125,360000000.0
3.0,2.0,2,87,0,5,596551724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,519000000.0
3.0,2.0,1,59,59,3,483050847.0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,381,285000000.0
2.0,1.0,1,55,88,4,543636364.0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,55,299000000.0
3.0,3.0,1,112,112,4,401785714.0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,554,450000000.0
3.0,2.0,1,100,100,5,5000000.0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,198,500000000.0
4.0,3.0,1,102,102,5,509803922.0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,14,520000000.0
3.0,2.0,1,8013,72,5,648945464.0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,198,520000000.0
2.0,1.0,0,52,52,3,413461538.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,292,215000000.0
3.0,2.0,2,136,136,6,588235294.0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,620,800000000.0
2.0,2.0,1,7354,73,4,401142236.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,262,295000000.0
2.0,2.0,1,93,93,5,591397849.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,550000000.0
3.0,2.0,3,210,210,6,371428571.0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,164,780000000.0
3.0,2.0,0,78,78,3,301282051.0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,688,235000000.0
3.0,3.0,2,116,116,5,629310345.0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,660,730000000.0
2.0,2.0,2,66,66,6,939393939.0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,646,620000000.0
3.0,2.0,2,103,0,4,601941748.0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,675,620000000.0
3.0,2.0,1,82,72,5,585365854.0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,49,480000000.0
2.0,3.0,2,133,133,6,526315789.0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,646,700000000.0
2.0,3.0,2,95,95,6,578947368.0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,162,550000000.0
3.0,2.0,1,58,53,3,405172414.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,303,235000000.0
3.0,3.0,2,92,92,4,597826087.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,550000000.0
2.0,2.0,1,80,80,6,7437500.0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,250,595000000.0
3.0,2.0,1,60,60,3,483333333.0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,683,290000000.0
1.0,2.0,1,56,0,4,803571429.0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,147,450000000.0
1.0,2.0,2,70,105,1,785714286.0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,160,550000000.0
3.0,2.0,1,74,74,4,418918919.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,108,310000000.0
3.0,2.0,0,55,50,3,4000000.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,777,220000000.0
3.0,2.0,1,68,68,4,588235294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,400000000.0
3.0,2.0,1,60,60,3,483333333.0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,683,290000000.0
3.0,2.0,0,95,9353,4,405263158.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,226,385000000.0
3.0,3.0,1,90,90,3,483333333.0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,450,435000000.0
