car_model,price,year_model,kms
Renault Duster Tripadvisor ,$64.000.000,2018,37353
Renault Duster 1.3 Intens 4x4,$82.900.000,2022,47000
Renault Duster 2.0 DYNAMIQUE 2013,$41.000.000,2013,136769
Renault Duster 1.6 Expression,$65.000.000,2021,78200
Renault Duster 2.0 Dynamique 4x4,$57.500.000,2020,113000
Renault Duster 2.0 Dynamique 4x2,$46.000.000,2015,111352
Renault Duster 1.3 T Iconic Mt 4X2,$96.000.000,2023,19000
Renault Duster Oroch 1.3  Cargo ,$97.000.000,2023,1900
Renault Duster 2.0 Dynamique 4x4,$70.500.000,2019,66000
Renault Duster 2.0 Dynamique,$45.000.000,2015,158000
Renault Duster Intens FE,$92.000.000,2024,31000
Renault Duster 2.0 Dynamique 4x2,$59.500.000,2018,54970
Renault Duster 1.6 Intense,$87.900.000,2023,30000
Renault Duster Dynamique,$44.000.000,2015,179452
Renault Duster 1.3 Intens,$82.900.000,2022,36547
Renault Duster 1.6 Expression Mecánica,$49.000.000,2016,68000
Renault Duster 2.0 Dynamique 4x4,$56.500.000,2019,115000
Renault Duster,$62.000.000,2019,25801
Renault Duster 1.6 Expression Mecánica,$39.900.000,2015,189000
Renault Duster 1.6 Expression Mecánica,$49.000.000,2016,108000
Renault Duster 2.0 Dynamique 4x4,$45.000.000,2015,272700
Renault Duster 1.3 Intense Mt 4x4 Outsider,$88.500.000,2022,75000
Renault Duster 1.6 Dynamique Mecánica,$66.000.000,2020,42000
"Renault Duster Dynamique Mec 2,0 4x2",$46.800.000,2014,83879
Renault Duster 2.0 Dynamique 4x2,$47.990.000,2016,103204
Renault Duster 2.0 Dynamique,$57.900.000,2018,68200
Renault Duster Zen,$74.500.000,2023,18749
Renault Duster Dynamique Placa Emv658,$64.000.000,2019,73000
Renault Duster Intens 4x2,$75.900.000,2022,55300
Renault Duster 2.0 Dynamique,$40.000.000,2013,140301
Renault Duster 1.6 Expression Mecánica,$66.000.000,2020,14153
Renault Duster 2.0 Dynamique 4x4 Mt,$69.900.000,2018,24000
Renault Duster Intens Dakar 2018,$56.800.000,2018,80563
Renault Duster Oroch 2.0 Dynamique,$70.000.000,2019,105000
Renault Duster Oroch INTENS 2.0 MT,$70.500.000,2020,80225
Renault Duster Expression,$59.500.000,2019,44218
Renault Duster 1.6 Expression Mecánica,$51.000.000,2016,68100
Renault Duster Dinamique Automatica 2.0 2016,$48.900.000,2016,77000
Renault Duster INTENS,$83.500.000,2023,6810
