car_model,price,year_model,kms
Chevrolet Onix 1.0t Automática,$57.900.000,2021,38500
Chevrolet Onix 1.4 Lt,$49.000.000,2021,42000
Chevrolet Onix Lt 1.0,$55.900.000,2021,38000
Chevrolet Onix 1.4 Ltz Aut,$46.000.000,2019,56000
Chevrolet Onix 1.4 Ltz,$43.000.000,2016,47096
Chevrolet Onix 2023,$60.900.000,2023,11911
Chevrolet Onix 1.0t Mecánica,$62.500.000,2021,26808
Chevrolet Onix 1.0T Rs Mt,$69.900.000,2023,2323
Chevrolet Onix 1.4 Lt,$52.000.000,2020,41921
Chevrolet Onix 1.0t Mecánica,$58.500.000,2021,34000
Chevrolet Onix Turbo Rs,$85.990.000,2023,0
Chevrolet Onix 1.4 Ltz Mecánica,$42.500.000,2017,96711
Chevrolet Onix 2021,$53.900.000,2021,46000
Chevrolet Onix Premier At 1.0t 2022,$58.900.000,2022,44000
Chevrolet Onix LTZ AT 1.4 2020,$49.900.000,2020,19000
Chevrolet Onix 1.0t Automática,$52.000.000,2021,51700
Chevrolet Onix 1.0T Rs Mt,$66.900.000,2023,14017
Chevrolet Onix 1.0t Mecánica,$61.000.000,2022,11980
Chevrolet Onix Lt At 1.0 Turbo,$60.900.000,2023,1110
Chevrolet Onix 1.4 Ltz,$38.800.000,2016,96300
Chevrolet Onix 1.4 Ltz Automática,$43.990.000,2017,74800
Chevrolet Ónix Ltz 1.0cc Turbo Tp Aa ,$55.000.000,2021,58000
Chevrolet Onix 1.0t Automática,$59.900.000,2021,22000
Chevrolet Onix Turbo Premier 1.0cc At Aa ,$70.500.000,2023,18600
Chevrolet Onix 1.0t Automática,$62.900.000,2021,22000
Chevrolet Onix 1.0t Mecánica,$65.000.000,2023,23000
Chevrolet Onix 1.4 Ltz Aut,$44.000.000,2018,59000
Chevrolet Onix 1.0t Automática,$69.900.000,2023,14800
Chevrolet Onix 1.4 Ltz 5 p,$39.900.000,2018,76000
Chevrolet Onix 1.0T Rs Mt,$67.000.000,2023,1951
Chevrolet Onix Premier Aut,$69.990.000,2023,20000
Chevrolet   Onix   Rs,$56.900.000,2021,31730
Chevrolet Onix 1.0T Rs Mt,$71.900.000,2023,5761
Chevrolet Onix 1.0t Automática,$54.000.000,2021,32000
Chevrolet Onix 1.0t Automática,$67.500.000,2023,10000
Chevrolet Onix 1.0 Premier Turbo,$59.800.000,2021,38000
Chevrolet Onix Lt 1.000cc A/t C/a 2023,$61.900.000,2023,1500
Chevrolet Captiva 2.4 Sport 182 hp,$38.900.000,2016,58000
Chevrolet Onix 1.4 Ltz,$42.000.000,2016,63000
Chevrolet Onix 1.0t Automática,$54.000.000,2022,26400
Chevrolet Onix 1.0t Automática,$67.900.000,2023,8300
Chevrolet Onix 1.4 Ltz Aut,$46.500.000,2019,47500
Chevrolet Onix 1.0t Mecánica,$59.900.000,2022,17875
Chevrolet Onix Rs 1.000cc M/t 2ab Fe Turbo 2021,$53.900.000,2021,17000
Chevrolet Onix 1.0t Automática,$62.800.000,2023,22000
Chevrolet Onix 1.0t Automática,$56.500.000,2021,47000
Chevrolet Onix 1.0T Rs Mt,$66.000.000,2023,8900
Chevrolet Onix 1.0t Automática,$60.000.000,2022,17500
Chevrolet Onix Turbo Premier ,$84.110.000,2024,0
Chevrolet Onix 1.4 Lt,$48.000.000,2020,42300
Chevrolet Onix 1.0T Rs Mt,$66.800.000,2023,12300
Chevrolet Onix 1.0T Rs Mt,$68.000.000,2023,18600
Chevrolet Onix 1.0t Automática,$51.900.000,2021,55000
Chevrolet Onix Turbo Premier Hb 1.0 Automatico,$63.500.000,2021,36536
Chevrolet Onix 1.0t Automática,$79.500.000,2023,13000
Chevrolet Onix 1.0t Automática,$73.900.000,2023,9000
Chevrolet Onix 1.0t Mecánica,$55.000.000,2023,21000
Chevrolet Onix 1.0t Automática,$63.000.000,2021,25000
Chevrolet Onix 1.4 Ltz Aut,$39.990.000,2018,83000
Chevrolet Onix 1.0t Automática,$54.000.000,2021,16000
Chevrolet Onix 1.0T Rs Mt,$63.000.000,2023,24100
Chevrolet Onix 1.4 Ltz 5 p,$45.890.000,2019,38000
Chevrolet Onix 1.0t Automática,$63.900.000,2021,22500
Chevrolet Onix 1.4 Ltz Aut,$44.000.000,2019,45000
Chevrolet Onix 1.4 Ltz,$35.700.000,2016,70000
Chevrolet Onix 1.4 Lt,$46.000.000,2020,55000
Chevrolet Onix 1.0T Rs Mt,$64.900.000,2023,2000
Chevrolet Onix 1.0t Automática,$61.500.000,2021,28400
Chevrolet 3 Onix 1.4 Ltz 4 P,$48.000.000,2019,163000
Chevrolet Onix Hatchback Cc 1.389,$45.000.000,2019,47042
Chevrolet Onix 1.0T Aut premier/22,$64.990.000,2022,17000
Chevrolet Onix 1.0T Rs Mt,$60.500.000,2023,24500
Chevrolet Onix 1.4 Ltz,$48.000.000,2019,68000
Chevrolet Onix 1.0t Premier At 2023,$71.900.000,2023,4800
Chevrolet Onix Premier Hb  2021,$59.800.000,2021,44159
Chevrolet Onix Turbo Rs 2021 1.0 Mt,$57.900.000,2021,66300
Chevrolet Onix 1.0t Mecánica,$57.900.000,2023,15000
Chevrolet Onix 1.0t Automática,$66.900.000,2022,25857
Chevrolet Onix Premier 2021 1.0 At,$64.900.000,2021,33800
Chevrolet Onix 1.4 Ltz Mt 2018,$45.900.000,2018,60600
Chevrolet Onix 1.0t Automática,$69.500.000,2023,18
Chevrolet Onix 1.0T Lt At 2023,$61.900.000,2023,17300
Chevrolet Onix 1.0t Automática,$55.700.000,2021,13998
Chevrolet Onix 1.0 RS MT,$57.900.000,2022,50500
Chevrolet Onix Lt Sedan 2023 1.0 Turbo At,$64.900.000,2023,10626
Chevrolet Onix 1.0t Automática,$69.500.000,2021,18
Chevrolet Onix 1.4 Ltz,$46.900.000,2019,44967
Chevrolet Onix 1.4 Lt,$63.000.000,2023,15000
Chevrolet Onix 1.4 Ltz Aut,$46.500.000,2019,80000
Chevrolet Onix 1.0t Mecánica,$73.000.000,2023,11000
Chevrolet Onix 1.4 Ltz Mt,$39.900.000,2019,39100
Chevrolet Onix 1.4 Ltz Mecánica,$39.000.000,2017,69050
Chevrolet Onix LTZ 1.4 AUTOMÁTICO,$39.990.000,2016,61000
Chevrolet Onix 1.4 Ltz,$43.900.000,2018,38000
Chevrolet Onix Premier 2022,$61.800.000,2022,36100
Chevrolet Onix 1.0t Mecánica,$62.000.000,2021,14000
Chevrolet Onix 1.4 Premier Turbo At,$70.500.000,2023,9200
Chevrolet Onix lt 1.0,$64.000.000,2023,12600
Chevrolet Onix 1.0T RS mecánico,$57.900.000,2021,56500
Chevrolet Onix 1.0 T mecanico,$59.900.000,2021,40000
Chevrolet Onix 1.0t Mecánica,$56.500.000,2021,45400
Chevrolet Onix 1.0T Rs Mt,$80.990.000,2023,0
Chevrolet Onix Modelo 2021,$57.000.000,2021,59000
Chevrolet Onix 1.4 Ltz Mecánica,$39.500.000,2017,110500
Chevrolet Onix Hb Ltz Mt,$53.900.000,2020,32712
Chevrolet Onix 1.0T Rs Mt,$59.900.000,2022,35000
Chevrolet Onix 1.4 Lt,$63.900.000,2023,20000
Chevrolet Onix 1.4 Activ Mt,$42.900.000,2018,44700
Chevrolet Onix 1.0T Rs Mt,$61.500.000,2022,9000
Chevrolet Onix Lt Turbo 2023 ,$62.500.000,2023,10000
Chevrolet Onix 1.0T Rs Mt,$78.990.000,2023,0
"Chevrolet Onix LTZ AUT 1,4",$48.900.000,2019,56943
Chevrolet Onix ltz 1.4,$38.950.000,2016,74000
Chevrolet Onix Premier 1.0 Turbo,$71.900.000,2023,25500
Chevrolet Onix 1.4 Ltz,$38.900.000,2016,73000
Chevrolet Onix 1.4 Ltz 5 p,$40.500.000,2018,70000
Chevrolet Onix Hb Ltz Mt 1.4l,$53.900.000,2020,33055
Chevrolet Onix LT TURBO MT 1.0L,$62.900.000,2023,36035
Chevrolet Onix Ltz 1.0,$70.000.000,2023,13300
Chevrolet Onix 1.0t Mecánica,"$59.500.000,00",2021,57080
Chevrolet Onix lt 1.0,$74.000.000,2023,8000
Chevrolet Onix 1.0t Mecánica,$72.000.000,2023,24306
Chevrolet Onix 1.0t Mecánica,$69.990.000,2023,9600
Chevrolet Onix 1.4 Ltz Aut,$58.000.000,2021,26125
Chevrolet Onix 1.4 Ltz Aut,$70.900.000,2023,25500
Chevrolet Onix 1.0t Automática,$71.990.000,2022,24147
Chevrolet Onix 1.0t Automática,$70.900.000,2023,25500
Chevrolet Onix  2018,$41.900.000,2018,69000
Chevrolet Onix Rs Turbo Ac 1.0 5p 4x2 Tm,$61.500.000,2021,56333
Chevrolet Onix Premier Turbo 1.0,$75.000.000,2023,3500
Chevrolet Onix turbo rs 1.0,$71.000.000,2023,9800
Chevrolet Onix 1.0t Automática,$63.000.000,2021,62000
Chevrolet Onix 1.0t Automática,$72.900.000,2023,9300
Chevrolet Onix 1.0T Rs Mt,$47.500.000,2021,39300
Chevrolet Onix 1.0T Rs Mt,$66.500.000,2022,19113
Chevrolet Onix 1.0t Automática,$73.900.000,2023,16285
Chevrolet Onix 1.4 Ltz 5 p,$39.500.000,2020,84000
Chevrolet Onix 1.0t Automática,$73.900.000,2023,9000
Chevrolet Onix 1.4 Ltz,$51.500.000,2019,55694
Chevrolet Onix 1.4 Ltz 5 p,$45.900.000,2018,70000
Chevrolet Onix 1.0t Mecánica,$55.900.000,2021,38400
Chevrolet Onix 1.0t Automática,$63.900.000,2021,54000
