car_model,price,year_model,kms
Kia Rio 1.4 ZENITH,$61.500.000,2019,44000
Kia Rio Ex 1 4 Tp 1.4 4p 2ab 2015,$40.990.000,2015,110540
Kia Rio 1.4 Vibrant At,$58.600.000,2019,54105
Kia Rio FE 1.4 AUT,$54.500.000,2018,61187
Kia Rio 1.4 Vibrant Hb 4 p,$67.900.000,2023,28512
Kia Rio 1.4 Vibrant Hb 5 p,$62.990.000,2023,22600
Kia Rio Vibrant At 1.4,$64.900.000,2023,23000
Kia Rio 1.4 Zenith Automatico,$73.900.000,2022,31212
Kia Rio 1.4 Vibrant,$54.000.000,2019,50000
Kia Rio 1.4 Zenith,$58.000.000,2018,77800
Kia Rio Vibrant,$75.490.000,2024,0
Kia Rio Emotion AT 1.4 2020,$58.900.000,2020,52000
Kia Rio Zenith At 1.4,$69.900.000,2023,22000
Kia Rio 1.4,$65.900.000,2022,20600
Kia Rio 1.4 Vibrant At,$64.990.000,2022,21100
Kia Rio 1.4 Vibrant At,$66.900.000,2022,39000
Kia Rio 1.4 Vibrant Hb 4 p,$68.990.000,2023,31970
Kia Rio 1.4,$74.900.000,2023,9850
Kia Rio 1.4 Sc Nb,$66.000.000,2021,30000
Kia Rio Vibrant,$74.990.000,2024,0
Kia Rio 1.4 Emotion Hb,$52.500.000,2019,125600
Kia Rio Spice 1.4,$41.500.000,2015,59900
Kia Rio Spice 1.4,$40.000.000,2015,122700
Kia Rio 1.4 Vibrant Hb 5 p,$73.000.000,2023,21900
Kia Rio 1.4 Zenith Hb 5 p,$65.000.000,2021,47000
Kia Rio VIBRANT,$59.000.000,2018,68000
Kia Rio 1.4 Vibrant Hb,$49.000.000,2021,22000
Kia Rio 1.2 4 p,$44.500.000,2017,60000
Kia Rio 1.4 Vibrant Hb 4 p,$70.900.000,2022,17000
Kia Rio,$40.900.000,2014,41830
Kia Rio 1.4 4 p Automática,$49.900.000,2017,53195
Kia Rio 1.4,$59.990.000,2022,35000
Kia Rio Ub Ex 1.4 At 2014,$41.900.000,2014,111202
Kia Rio 1.4 ZENITH MT TECHO,$73.600.000,2023,11000
Kia Rio Spice R Summa 1.250,$50.000.000,2017,84000
Kia Rio 1.4 4 p,$38.000.000,2013,117300
Kia Rio 1.4,$58.000.000,2020,57114
Kia Rio 1.4 Vibrant Hb 5 p,$60.500.000,2020,53000
Kia Rio 1.4 Vibrant Hb,$63.000.000,2021,36572
Kia Rio 1.4 5 p,$47.000.000,2016,100000
Kia Rio 1.25,$48.000.000,2017,69400
Kia Rio 1.4 5 p 95 hp,$33.000.000,2012,130000
Kia Rio 1.5 Stylus,$31.000.000,2016,91500
Kia Rio 1.4 Vibrant Hb 5 p,$55.000.000,2019,77000
Kia Rio 1.4 Vibrant Hb 5 p,$69.990.000,2023,23000
Kia Rio 1.4 4 p,$39.900.000,2013,98000
Kia Rio 1.4 Vibrant Mt,$51.990.000,2018,83400
Kia Rio 1.4,$66.500.000,2020,33000
Kia Rio 1.4 Vibrant Hb 5 p,$68.000.000,2023,30000
Kia Rio 1.4 Vibrant Hb 4 p,$27.000.000,2022,147000
Kia Rio 1.25 5 p,$42.000.000,2016,125000
Kia Rio 1.4,$54.000.000,2019,62000
Kia Rio 1.4,$51.800.000,2018,19000
Kia Rio 1.4 Vibrant Mt,$65.000.000,2020,20102
Kia Rio 1.4 Vibrant Mt,$60.000.000,2019,72230
Kia Rio Sedán 1400cc Mec.,$52.800.000,2018,19000
Kia Rio 1.4 Vibrant Hb 4 p,$66.900.000,2023,24000
Kia Rio 1.25 4 p,$45.500.000,2016,68500
